UserId,ItemId,CategoryId,Clicked,Purchased,Relevance,Novelty,Pur_diversity,Rec_diversity,Unexpectedness,Serendipity,Timeliness,User satisfaction,Purchase intention,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
19308,2338731,9478,0,0,4,1,4,1,2,2,4,5,5,1,2,1,1,1,1,1,1,1,1,4,1,6,2,6,5,7,1,7,1
6765,13689987,2154,0,0,3,1,3,3,2,2,4,3,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,6,6,4,7,7
21560,4282341,9921,0,0,3,3,3,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,6,2,4,4,5,2,4
15232,4811869,1802,0,0,1,3,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,7,1,7,7,7,1,7,7
18845,6769874,9505,0,0,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,7,5,7,7,7,1,7,7,1,7
7992,291478,2510,0,0,5,4,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,7,1,4,5,5,5,6,5
16469,392188,2450,0,0,1,5,5,5,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,7,1,7,3,3,1,7,1,7
10846,6500608,2202,0,0,1,3,3,3,4,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,4,4,4,4,4,5,5,4,4
8200,4968752,1422,0,0,3,3,2,4,2,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,5,1,3,6,7,3,6,6
25280,634133,229,0,0,3,3,3,3,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,5,1,6,1,5,5,5,2,5
12309,6844818,1877,0,0,2,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,5,6,6,1,3,3,5,3,3
23681,6085262,1877,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,6,7,5,7,1,7,7
5992,11737252,1582,0,0,1,1,2,4,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,5,4,7,5,6,6,7,1,7,5
12747,12126932,1583,0,0,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,7,6,6,7,1,1,7,6,1,5
7617,10302493,2038,0,0,1,1,1,4,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,6,6,3,6,6,2,6,6
14395,12552612,2037,0,0,1,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,4,7,5,5,7,7,7,7,6
22624,607827,8819,0,0,1,3,3,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,5,4,5,3,3,3,5
10798,9774908,388,0,0,4,4,4,5,4,5,3,4,4,1,1,1,2,1,1,1,1,1,1,2,1,7,1,2,3,7,1,7,6
9873,9947953,2973,0,0,3,3,2,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,4,3,4,3,3
24165,1343317,1619,0,0,2,4,3,4,2,2,2,3,2,1,1,1,1,2,1,1,1,1,1,1,2,7,1,1,7,7,1,7,7
22373,1590701,1761,0,0,4,2,5,2,4,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,5,6,4,6,5,6,5,6
10813,11400787,16,0,0,1,3,5,5,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,3,3,3,1,6,3,2,5
14814,10556126,2035,0,0,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,3,5,1,5,1,4,2,4
24357,6364817,1783,0,0,4,4,5,2,1,4,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,4,6,1,6,7,7,5,4
5224,619099,1221,0,0,4,4,2,5,2,4,5,5,5,1,1,1,2,1,1,1,1,1,1,1,2,3,7,3,7,7,5,5,7
22185,12961147,7880,0,0,2,2,5,4,3,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,6,6,4,7,5,1,4,3
6643,1034112,2518,0,0,1,1,5,2,4,1,1,3,2,1,1,2,1,1,2,1,1,1,1,6,3,6,7,7,6,7,7,7,7
21872,1902344,2500,0,0,3,1,4,5,4,3,1,3,1,1,1,1,1,2,2,1,1,1,1,3,2,6,2,2,4,7,6,6,3
10601,5685341,1390,0,0,4,2,3,5,4,2,2,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,5,2,2,5,3,1,1
20524,601277,2447,0,0,2,1,5,2,1,1,2,3,3,2,1,1,1,1,2,1,1,1,1,1,1,2,6,1,1,1,7,1,3
19614,283889,2440,0,0,1,1,4,3,3,2,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,3
3843,10226471,7213,0,0,3,3,4,5,3,1,3,3,1,2,1,2,1,1,1,1,1,1,1,1,1,7,3,1,7,6,1,3,2
6742,8722206,2226,0,0,2,1,2,2,1,1,2,3,2,2,1,1,1,1,1,1,1,1,2,1,1,6,6,3,7,6,1,5,2
14649,1227707,2203,0,0,1,2,5,5,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,6,2,5,6,3,3,5
13986,14337529,1877,0,0,2,2,2,5,1,3,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,5,1,3,2,6,1,1,3
3913,10375893,1877,0,0,1,1,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,5,3,7,4,7,5,7,1,7,4
2825,14205793,90,0,0,1,1,1,3,3,1,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,6,1,4,4
12756,3544951,1582,0,0,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,2,2,2,2,1
19128,13880426,305,1,0,1,4,4,5,3,1,1,2,1,2,1,2,1,1,1,1,1,1,1,6,1,4,5,5,2,7,6,2,4
16612,14347071,9,0,0,1,2,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,6,1,5,6,5
11270,12254611,9,0,0,1,2,1,3,1,1,1,3,1,1,1,1,1,1,2,1,1,1,2,3,4,7,5,5,6,6,2,6,3
11789,14194021,8,0,0,2,2,3,5,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,6,1,7,4,4,6,6
12288,11806341,2038,0,0,3,4,4,3,4,3,3,3,2,1,2,1,1,1,1,1,1,2,1,4,4,4,4,4,7,7,5,7,7
13989,13046939,2037,0,0,4,4,4,2,4,3,4,3,4,2,1,1,1,2,1,1,1,1,1,5,2,1,7,2,1,4,5,1,7
3786,4058891,315,0,0,3,4,3,4,3,3,2,3,3,2,1,1,1,2,1,1,1,1,1,1,1,7,4,3,4,4,3,3,3
844,2230414,1862,0,0,5,1,1,5,5,5,5,5,5,2,1,1,1,2,1,1,1,1,1,6,1,7,1,1,2,7,1,7,1
